,Category,Link
0,spor,https://www.internethaber.com/colin-kazim-ingilterede-ikinci-baharini-yasiyor-2166824h.htm
1,spor,https://www.internethaber.com/dikkat-ceken-detay-arda-turanin-sozlesmesi-uzayacak-mi-2166815h.htm
2,spor,https://www.internethaber.com/paris-saint-germain-dijon-engelini-farkli-asti-2166809h.htm
3,spor,https://www.internethaber.com/fatih-terim-milli-futbolcuyu-tamamen-sildi-kadroya-almadi-2166801h.htm
4,spor,https://www.internethaber.com/lider-galatasarayin-sampiyonluk-yuruyusu-suruyor-2166789h.htm
5,spor,https://www.internethaber.com/barcelona-sevillanin-serisine-son-verdi-2166768h.htm
6,spor,https://www.internethaber.com/super-ligde-dev-mac-trabzonspor-fenerbahce-iste-muhtemel-11ler-2166785h.htm
7,spor,https://www.internethaber.com/bayern-munihin-galibiyet-lewandowskinin-rekor-gecesi-2166769h.htm
8,spor,https://www.internethaber.com/juventus-kayiplarda-zirveden-uzaklasiyor-2166767h.htm
9,spor,https://www.internethaber.com/mostafa-mohamed-ve-muslera-ile-sozlesme-uzatilacak-mi-2166766h.htm
10,spor,https://www.internethaber.com/fatih-terimden-falcao-sozleri-katki-saglayacaktir-2166735h.htm
11,spor,https://www.internethaber.com/mostafa-mohamed-falcaonun-gol-sayisini-yakaladi-2166732h.htm
12,spor,https://www.internethaber.com/fernando-muslera-galatasaray-ile-ligde-300-macina-cikti-2166726h.htm
13,spor,https://www.internethaber.com/erol-bulut-caner-erkini-trabzona-goturmedi-2166723h.htm
